time,open,high,low,close,volume
2021-12-22,65.2,65.87,64.86,65.11,1915300
2021-12-23,65.62,66.8,64.77,64.77,1489000
2021-12-24,65.03,66.47,65.03,66.47,849400
2021-12-27,66.8,67.99,65.96,67.57,934100
2021-12-28,67.74,68.58,66.04,67.74,1168800
2021-12-29,67.31,67.57,66.97,67.31,440000
2021-12-30,67.57,67.65,65.79,66.38,920300
2021-12-31,66.89,67.06,66.38,66.72,422000
2022-01-04,66.89,67.23,66.04,66.89,1133800
2022-01-05,66.89,68.07,66.04,66.04,1603100
2022-01-06,66.55,67.65,65.96,66.97,1215600
2022-01-07,67.4,67.65,66.21,67.57,966200
2022-01-10,67.48,67.65,66.47,67.31,1097000
2022-01-11,67.74,67.74,66.47,67.23,952700
2022-01-12,67.23,67.74,66.04,67.74,1801500
2022-01-13,68.16,71.46,67.91,69.34,2532800
2022-01-14,69.34,70.61,68.58,70.61,1522100
2022-01-17,70.28,74.51,69.68,72.99,2628500
2022-01-18,72.39,74.17,71.12,74.17,1696600
2022-01-19,74.09,74.09,71.97,73.49,914800
2022-01-20,72.14,74.09,70.36,73.75,2794300
2022-01-21,73.58,76.2,72.9,75.53,2502300
2022-01-24,75.69,79.17,74.68,78.74,2728300
2022-01-25,78.32,81.28,75.36,81.11,2396600
2022-01-26,81.11,81.11,78.4,80.01,2523500
2022-01-27,78.74,80.01,76.54,77.05,1732900
2022-01-28,77.05,77.9,75.36,75.36,2055700
2022-02-07,76.71,78.66,75.78,78.24,1620800
2022-02-08,78.24,78.24,76.29,77.9,1146400
2022-02-09,77.22,77.81,76.46,76.88,1582900
2022-02-10,77.13,79.08,77.05,77.3,1827200
2022-02-11,77.3,77.56,76.2,76.2,1158400
2022-02-14,74.59,75.19,72.82,72.82,3629100
2022-02-15,72.82,74.76,70.95,73.66,2453500
2022-02-16,74.09,74.42,73.15,73.66,1286000
2022-02-17,73.66,74.26,73.49,74.09,1431200
2022-02-18,73.15,74.09,73.15,73.83,1066200
